Region,Crop,Year,Month,Temperature_C,Rainfall_mm,Humidity_percent,CO2_ppm,Avg_pH,Avg_Nitrogen_ppm,Avg_Phosphorus_ppm,Avg_Organic_Matter_Percent,Yield_kg_per_ha,GDD,Cumulative_Rainfall,Days_Into_Season,pH_Temperature_Interaction,Nitrogen_Rainfall_Interaction,Is_Rainy_Season,Is_Peak_Growing,Heat_Stress,Cold_Stress,Rainfall_Anomaly,Drought_Risk,Flood_Risk,Yield_Lag_1,Yield_Lag_2,Yield_Lag_3,Yield_MA_3yr,Temp_MA_3yr,Rain_MA_3yr,Yield_YoY_Change,Temp_YoY_Change,Rain_YoY_Change,Yield_Volatility_3yr
North East,Maize,2020,11,25.43138888888889,350.45833333333337,52.25833333333333,414.21333333333337,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.0,0.0,3084.0333333333333,210,164.4563148148148,18025.240277777782,0,0,0,0,1.3471289499125403,0,1,1.9106726783066539,1.941990471402236,1.9112888179777014,1.9107650720002018,27.41490740740741,2704.9666666666667,-0.031040612014938462,-0.8366666666666696,962.0999999999999,0.031179305226845186
North East,Maize,2020,12,26.93138888888889,280.3666666666667,52.25833333333333,414.21333333333337,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.0,0.0,3364.4,240,174.1563148148148,14420.192222222224,0,0,0,0,1.3471289498692174,0,1,1.9106726783066539,1.941990471402236,1.9112888179777014,1.9107650720002018,27.41490740740741,2704.9666666666667,-0.031040612014938462,-0.8366666666666696,962.0999999999999,0.031179305226845186
North East,Maize,2021,1,28.763055555555557,299.5125,51.18611111111111,416.4141666666667,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.0,0.0,299.5125,0,186.00109259259258,15404.92625,0,0,0,0,3.260316141229728,0,1,1.8796320662917154,1.9106726783066539,1.941990471402236,1.8849437791970012,27.320833333333336,3519.6333333333337,-0.015105473299080963,0.331666666666667,1427.7999999999997,0.023527133653382694
North East,Maize,2021,2,29.861131766908873,226.42637749934215,51.18611111111111,416.4141666666667,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.0,0.0,525.9388774993422,0,193.10198542601069,11645.863349382833,0,0,0,0,3.260316141004106,0,1,1.8796320662917154,1.9106726783066539,1.941990471402236,1.8849437791970012,27.320833333333336,3519.6333333333337,-0.015105473299080963,0.331666666666667,1427.7999999999997,0.023527133653382694
North East,Maize,2021,3,30.263055555555557,199.67499999999998,51.18611111111111,416.4141666666667,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.0,0.0,725.6138774993422,0,195.70109259259257,10269.950833333332,0,0,0,0,3.2603161408802324,0,1,1.8796320662917154,1.9106726783066539,1.941990471402236,1.8849437791970012,27.320833333333336,3519.6333333333337,-0.015105473299080963,0.331666666666667,1427.7999999999997,0.023527133653382694
North East,Maize,2021,4,29.861131766908873,226.4263774993422,51.18611111111111,416.4141666666667,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.3107544321654391,19.861131766908873,952.0402549986843,0,193.10198542601069,11645.863349382835,1,0,0,0,3.260316141004106,0,1,1.8796320662917154,1.9106726783066539,1.941990471402236,1.8849437791970012,27.320833333333336,3519.6333333333337,-0.015105473299080963,0.331666666666667,1427.7999999999997,0.023527133653382694
North East,Maize,2021,5,28.763055555555557,299.5125,51.18611111111111,416.4141666666667,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.3107544321654391,18.763055555555557,1251.5527549986843,30,186.00109259259258,15404.92625,1,1,0,0,3.260316141229728,0,1,1.8796320662917154,1.9106726783066539,1.941990471402236,1.8849437791970012,27.320833333333336,3519.6333333333337,-0.015105473299080963,0.331666666666667,1427.7999999999997,0.023527133653382694
North East,Maize,2021,6,27.263055555555557,399.34999999999997,51.18611111111111,416.4141666666667,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.3107544321654391,17.263055555555557,1650.9027549986843,60,176.30109259259257,20539.901666666665,1,1,0,0,3.2603161414044735,0,1,1.8796320662917154,1.9106726783066539,1.941990471402236,1.8849437791970012,27.320833333333336,3519.6333333333337,-0.015105473299080963,0.331666666666667,1427.7999999999997,0.023527133653382694
North East,Maize,2021,7,25.763055555555557,499.18749999999994,51.18611111111111,416.4141666666667,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.3107544321654391,15.763055555555557,2150.090254998684,90,166.60109259259258,25674.877083333333,1,1,0,0,3.2603161415093216,0,1,1.8796320662917154,1.9106726783066539,1.941990471402236,1.8849437791970012,27.320833333333336,3519.6333333333337,-0.015105473299080963,0.331666666666667,1427.7999999999997,0.023527133653382694
North East,Maize,2021,8,24.66497934420224,572.2736225006577,51.18611111111111,416.4141666666667,6.466666666666666,51.43333333333334,1.2666666666666666,0.09999999999999999,0.3107544321654391,14.66497934420224,2722.363877499342,120,159.50019975917448,29433.939983950495,1,0,0,0,3.260316141562883,0,1,1.8796320662917154,1.9106726783066539,1.941990471402236,1.8849437791970012,27.320833333333336,3519.6333333333337,-0.015105473299080963,0.331666666666667,1427.7999999999997,0.023527133653382694
